id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist
2787035921,1,34,16,0,0,1oyc8wvt31xlmocyg7euv40bo,1,0,0,2025-03-11T12:57:25.048Z,2025-03-11T12:57:24Z,"[{'id': 5574555865, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5574555861, 'qualifierId': 194, 'value': '4caacpozfluk9p6ljrkzzo8o9'}, {'id': 5574555855, 'qualifierId': 59, 'value': '1, 3, 27, 8, 5, 4, 7, 10, 9, 6, 11, 13, 16, 20, 21, 23, 29, 33, 36, 92'}, {'id': 5574555851, 'qualifierId': 30, 'value': '911ma7mry52gxar14xb0wrkkp, 8uo53q5n2lt81faxntpfsj0q2, ds9i23kxqerve1nqc9l2vlsk, 6n6x88fmmeybwkr6nt8djmac5, easkhb7p76ltpwpqkntmcu6ll, 8jagdiyhimgmuz0ku5mm1266t, 4caacpozfluk9p6ljrkzzo8o9, 7t90qi8vml1rdscbbwy0wbuuh, cam37rgi4c0zyddtt7vwwubbp, 8hst6awgd2m3z7kxj0bjoj4oa, 380ubomb76m0img8g2dfwx7mx, dh1cktmvz3s0ynf3gv6u6hy39, 6wycqyl2ra8kyopmew3thk3ys, jewe7em2j8u4bw7xxbucebbp, 8ivkc4eqlrtucjitvl8fcgu6t, 4m8kav4ahgvl1j1ie9x7hn1lh, uuh0y713rzg940ai1bjs08ut, ewsvhfqhdx59yl2ui9wkxwez9, 46imbd3n5ksawlc59rxd6ymwa, cmr1iot1ws3kzxkwu0pl5gb9w'}, {'id': 5574555853, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5574555857, 'qualifierId': 130, 'value': '4'}, {'id': 5574555863, 'qualifierId': 197, 'value': '27081'}, {'id': 5574555859, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,
2787036033,1,34,16,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-03-11T12:58:31.612Z,2025-03-11T14:02:50Z,"[{'id': 5574556427, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5574556431, 'qualifierId': 130, 'value': '4'}, {'id': 5574556429, 'qualifierId': 59, 'value': '22, 25, 32, 23, 2, 5, 7, 8, 17, 31, 11, 1, 6, 9, 12, 14, 18, 24, 26, 29'}, {'id': 5574556441, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5574556439, 'qualifierId': 197, 'value': '28018'}, {'id': 5574556437, 'qualifierId': 194, 'value': '99cjmvx4xlyzhyf6wxlvisb11'}, {'id': 5574556425, 'qualifierId': 30, 'value': 'cqtsv8o9c603won64dpi3x2j8, 7vwq6tjwae82epsh6kll9phm2, 3sy4rxdzl4u9e5kkvygxu9x7u, c22j2xs6nnyho3hixmh0txo9g, 183r263z06eesonzbta557ys5, 52hvmgmgja56sqj0zga4tvk5x, cufgsqfkltgeb7ak2uan2dqdx, de6woepvuggpm1z2cwz1nbmne, 7wpltjujzubkwy1k57jzcwafp, daflma7990pzvp9o2ebnzi1as, 99cjmvx4xlyzhyf6wxlvisb11, et5ztuwgv6uaiste9nxba9h3p, 2a9hami994cy6omp5puter6c, deyx0zxr2303hh3cru8l88u1g, eisspzerdcz21ukznum5q30bu, d9a3eym5myc3ohd1lr6d2036c, c8xdtls9ueivjll19yvp5wq1h, 7gknnojch0zpa9cryvymfzcru, 3syfp9ndbs7t5vgj21a02gcno, 73ri99nts1mnwmuqoriohi50'}, {'id': 5574556433, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,
2787048129,2,32,1,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-03-11T14:00:09.403Z,2025-03-11T14:00:09Z,"[{'id': 5574624251, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,
2787048135,2,32,1,0,0,1oyc8wvt31xlmocyg7euv40bo,1,0,0,2025-03-11T14:00:09.403Z,2025-03-11T14:00:10Z,"[{'id': 5574624271, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,
2787048141,3,1,1,0,0,1oyc8wvt31xlmocyg7euv40bo,1,50.1,50.1,2025-03-11T14:00:09.404Z,2025-03-11T14:00:13Z,"[{'id': 5574624301, 'qualifierId': 141, 'value': '59.6'}, {'id': 5574624305, 'qualifierId': 213, 'value': '2.91'}, {'id': 5574624297, 'qualifierId': 56, 'value': 'Back'}, {'id': 5574624303, 'qualifierId': 212, 'value': '28.0'}, {'id': 5574624299, 'qualifierId': 140, 'value': '24.2'}, {'id': 5574624307, 'qualifierId': 279, 'value': 'S'}]",cam37rgi4c0zyddtt7vwwubbp,N. Karelis,,
2787048149,4,1,1,0,3,1oyc8wvt31xlmocyg7euv40bo,0,24.6,59.7,2025-03-11T14:00:13.035Z,2025-03-11T14:00:16Z,"[{'id': 5574624345, 'qualifierId': 155}, {'id': 5574624353, 'qualifierId': 212, 'value': '55.2'}, {'id': 5574624357, 'qualifierId': 1}, {'id': 5574624351, 'qualifierId': 141, 'value': '80.6'}, {'id': 5574624355, 'qualifierId': 213, 'value': '0.26'}, {'id': 5574624349, 'qualifierId': 140, 'value': '75.4'}, {'id': 5574624347, 'qualifierId': 56, 'value': 'Left'}]",8jagdiyhimgmuz0ku5mm1266t,Tiri,,
2787048159,3,1,1,0,6,12ksg0e6d70senzilsic40fzl,0,25.5,20.6,2025-03-11T14:00:15.839Z,2025-03-11T14:01:17Z,"[{'id': 5574624403, 'qualifierId': 56, 'value': 'Back'}, {'id': 5574624407, 'qualifierId': 141, 'value': '5.2'}, {'id': 5574624411, 'qualifierId': 213, 'value': '5.67'}, {'id': 5574624405, 'qualifierId': 140, 'value': '39.6'}, {'id': 5574624401, 'qualifierId': 3}, {'id': 5574624409, 'qualifierId': 212, 'value': '18.1'}]",7vwq6tjwae82epsh6kll9phm2,N. Bhutia,,
2787048157,5,3,1,0,9,1oyc8wvt31xlmocyg7euv40bo,0,62.9,94,2025-03-11T14:00:19.003Z,2025-03-11T16:22:12Z,"[{'id': 5574624397, 'qualifierId': 56, 'value': 'Left'}, {'id': 5574625127, 'qualifierId': 233, 'value': '4'}, {'id': 5574624399, 'qualifierId': 286}]",ds9i23kxqerve1nqc9l2vlsk,N. Rodrigues,,
2787048163,4,7,1,0,9,12ksg0e6d70senzilsic40fzl,0,37.1,6,2025-03-11T14:00:19.004Z,2025-03-11T16:22:12Z,"[{'id': 5574624435, 'qualifierId': 285}, {'id': 5574625123, 'qualifierId': 233, 'value': '5'}, {'id': 5574624433, 'qualifierId': 56, 'value': 'Back'}]",cufgsqfkltgeb7ak2uan2dqdx,R. Williams,,
2787048165,6,61,1,0,11,1oyc8wvt31xlmocyg7euv40bo,1,69.5,96.5,2025-03-11T14:00:21.076Z,2025-03-11T14:00:21Z,"[{'id': 5574624437, 'qualifierId': 56, 'value': 'Left'}]",ds9i23kxqerve1nqc9l2vlsk,N. Rodrigues,,
2787048167,5,1,1,0,12,12ksg0e6d70senzilsic40fzl,0,23.5,3.8,2025-03-11T14:00:22.369Z,2025-03-11T14:00:23Z,"[{'id': 5574624447, 'qualifierId': 212, 'value': '13.3'}, {'id': 5574624443, 'qualifierId': 140, 'value': '35.7'}, {'id': 5574624449, 'qualifierId': 213, 'value': '0.26'}, {'id': 5574624445, 'qualifierId': 141, 'value': '8.8'}, {'id': 5574624441, 'qualifierId': 56, 'value': 'Back'}]",7vwq6tjwae82epsh6kll9phm2,N. Bhutia,,
2787048173,7,61,1,0,15,1oyc8wvt31xlmocyg7euv40bo,0,77.8,88.7,2025-03-11T14:00:25.275Z,2025-03-11T14:18:48Z,"[{'id': 5574624481, 'qualifierId': 56, 'value': 'Left'}]",380ubomb76m0img8g2dfwx7mx,Jorge Ortíz,,
2787048247,10,61,1,0,16,1oyc8wvt31xlmocyg7euv40bo,1,65.5,86.8,2025-03-11T14:00:26.258Z,2025-03-11T14:00:59Z,"[{'id': 5574624901, 'qualifierId': 56, 'value': 'Left'}]",7t90qi8vml1rdscbbwy0wbuuh,Brandon Fernandes,,
2787048185,6,1,1,0,17,12ksg0e6d70senzilsic40fzl,1,22.2,11,2025-03-11T14:00:27.212Z,2025-03-11T14:00:28Z,"[{'id': 5574624555, 'qualifierId': 56, 'value': 'Back'}, {'id': 5574624561, 'qualifierId': 212, 'value': '16.3'}, {'id': 5574624559, 'qualifierId': 141, 'value': '31.3'}, {'id': 5574624563, 'qualifierId': 213, 'value': '1.01'}, {'id': 5574624557, 'qualifierId': 140, 'value': '30.5'}]",7vwq6tjwae82epsh6kll9phm2,N. Bhutia,,
2787048189,7,49,1,0,18,12ksg0e6d70senzilsic40fzl,1,30.5,31.3,2025-03-11T14:00:28.368Z,2025-03-11T14:00:28Z,[],de6woepvuggpm1z2cwz1nbmne,S. Singh,,
2787048203,8,1,1,0,19,12ksg0e6d70senzilsic40fzl,1,29.8,31.5,2025-03-11T14:00:28.774Z,2025-03-11T14:00:32Z,"[{'id': 5574624655, 'qualifierId': 140, 'value': '27.5'}, {'id': 5574624661, 'qualifierId': 213, 'value': '1.64'}, {'id': 5574624659, 'qualifierId': 212, 'value': '34.0'}, {'id': 5574624663, 'qualifierId': 1}, {'id': 5574624657, 'qualifierId': 141, 'value': '81.4'}, {'id': 5574624653, 'qualifierId': 56, 'value': 'Back'}]",de6woepvuggpm1z2cwz1nbmne,S. Singh,,
2787048207,9,1,1,0,23,12ksg0e6d70senzilsic40fzl,0,29.9,89.3,2025-03-11T14:00:32.539Z,2025-03-11T14:00:34Z,"[{'id': 5574624681, 'qualifierId': 141, 'value': '91.8'}, {'id': 5574624685, 'qualifierId': 213, 'value': '0.12'}, {'id': 5574624679, 'qualifierId': 140, 'value': '43.0'}, {'id': 5574624683, 'qualifierId': 212, 'value': '13.9'}, {'id': 5574624677, 'qualifierId': 56, 'value': 'Back'}]",3sy4rxdzl4u9e5kkvygxu9x7u,R. Singh,,
2787048217,8,61,1,0,26,1oyc8wvt31xlmocyg7euv40bo,1,60.3,4.1,2025-03-11T14:00:35.435Z,2025-03-11T14:01:07Z,"[{'id': 5574624725, 'qualifierId': 56, 'value': 'Right'}]",8uo53q5n2lt81faxntpfsj0q2,H. Ralte,,
2787048243,10,5,1,0,27,12ksg0e6d70senzilsic40fzl,1,39,101.4,2025-03-11T14:00:36.804Z,2025-03-11T14:00:47Z,"[{'id': 5574624887, 'qualifierId': 347}, {'id': 5574624889, 'qualifierId': 233, 'value': '9'}, {'id': 5574624885, 'qualifierId': 56, 'value': 'Back'}]",3sy4rxdzl4u9e5kkvygxu9x7u,R. Singh,,
2787048221,9,5,1,0,28,1oyc8wvt31xlmocyg7euv40bo,0,62.6,-1.4,2025-03-11T14:00:38.346Z,2025-03-11T14:00:47Z,"[{'id': 5574624893, 'qualifierId': 233, 'value': '10'}, {'id': 5574624743, 'qualifierId': 56, 'value': 'Right'}, {'id': 5574624745, 'qualifierId': 347}]",8uo53q5n2lt81faxntpfsj0q2,H. Ralte,,
2787048253,11,1,1,0,36,12ksg0e6d70senzilsic40fzl,1,25.9,100,2025-03-11T14:00:46.398Z,2025-03-11T14:00:47Z,"[{'id': 5574624947, 'qualifierId': 212, 'value': '8.4'}, {'id': 5574624939, 'qualifierId': 107}, {'id': 5574624943, 'qualifierId': 140, 'value': '26.0'}, {'id': 5574624949, 'qualifierId': 213, 'value': '4.72'}, {'id': 5574624941, 'qualifierId': 56, 'value': 'Back'}, {'id': 5574624945, 'qualifierId': 141, 'value': '89.0'}]",3sy4rxdzl4u9e5kkvygxu9x7u,R. Singh,,
2787048261,12,1,1,0,38,12ksg0e6d70senzilsic40fzl,1,26.2,89,2025-03-11T14:00:47.772Z,2025-03-11T14:00:49Z,"[{'id': 5574624979, 'qualifierId': 140, 'value': '29.7'}, {'id': 5574624983, 'qualifierId': 212, 'value': '6.8'}, {'id': 5574624977, 'qualifierId': 56, 'value': 'Back'}, {'id': 5574624981, 'qualifierId': 141, 'value': '97.4'}, {'id': 5574624985, 'qualifierId': 213, 'value': '1.00'}]",de6woepvuggpm1z2cwz1nbmne,S. Singh,,
2787048281,13,1,1,0,40,12ksg0e6d70senzilsic40fzl,0,30.4,96.3,2025-03-11T14:00:49.663Z,2025-03-11T14:00:55Z,"[{'id': 5574625089, 'qualifierId': 213, 'value': '0.01'}, {'id': 5574625079, 'qualifierId': 157}, {'id': 5574625091, 'qualifierId': 1}, {'id': 5574625087, 'qualifierId': 212, 'value': '74.4'}, {'id': 5574625083, 'qualifierId': 140, 'value': '100.0'}, {'id': 5574625085, 'qualifierId': 141, 'value': '97.1'}, {'id': 5574625081, 'qualifierId': 56, 'value': 'Left'}]",3sy4rxdzl4u9e5kkvygxu9x7u,R. Singh,,
2787048287,14,5,1,0,46,12ksg0e6d70senzilsic40fzl,0,100.9,94.6,2025-03-11T14:00:55.761Z,2025-03-11T14:01:21Z,"[{'id': 5574625179, 'qualifierId': 233, 'value': '11'}, {'id': 5574625115, 'qualifierId': 56, 'value': 'Left'}, {'id': 5574625531, 'qualifierId': 346}]",3sy4rxdzl4u9e5kkvygxu9x7u,R. Singh,,
2787048299,11,5,1,0,51,1oyc8wvt31xlmocyg7euv40bo,1,-0.9,5.4,2025-03-11T14:01:00.443Z,2025-03-11T14:01:21Z,"[{'id': 5574625529, 'qualifierId': 346}, {'id': 5574625173, 'qualifierId': 233, 'value': '14'}, {'id': 5574625169, 'qualifierId': 56, 'value': 'Back'}]",7t90qi8vml1rdscbbwy0wbuuh,Brandon Fernandes,,
2787048385,12,1,1,1,12,1oyc8wvt31xlmocyg7euv40bo,0,4.7,58.8,2025-03-11T14:01:22.235Z,2025-03-11T14:01:27Z,"[{'id': 5574625605, 'qualifierId': 1}, {'id': 5574625595, 'qualifierId': 56, 'value': 'Center'}, {'id': 5574625601, 'qualifierId': 212, 'value': '77.5'}, {'id': 5574625597, 'qualifierId': 140, 'value': '78.2'}, {'id': 5574625607, 'qualifierId': 74}, {'id': 5574625603, 'qualifierId': 213, 'value': '6.19'}, {'id': 5574625593, 'qualifierId': 124}, {'id': 5574625599, 'qualifierId': 141, 'value': '48.5'}]",911ma7mry52gxar14xb0wrkkp,P. Lachenpa,,
2787048395,15,1,1,1,17,12ksg0e6d70senzilsic40fzl,0,23.2,51.2,2025-03-11T14:01:27.146Z,2025-03-11T14:01:31Z,"[{'id': 5574625693, 'qualifierId': 213, 'value': '0.50'}, {'id': 5574625685, 'qualifierId': 56, 'value': 'Left'}, {'id': 5574625683, 'qualifierId': 157}, {'id': 5574625687, 'qualifierId': 140, 'value': '56.2'}, {'id': 5574625695, 'qualifierId': 1}, {'id': 5574625691, 'qualifierId': 212, 'value': '39.6'}, {'id': 5574625689, 'qualifierId': 141, 'value': '79.3'}]",52hvmgmgja56sqj0zga4tvk5x,A. Jovanović,,
2787048397,13,1,1,1,22,1oyc8wvt31xlmocyg7euv40bo,0,42.8,16.4,2025-03-11T14:01:32.058Z,2025-03-11T14:01:32Z,"[{'id': 5574625703, 'qualifierId': 3}, {'id': 5574625707, 'qualifierId': 140, 'value': '45.0'}, {'id': 5574625713, 'qualifierId': 213, 'value': '0.92'}, {'id': 5574625711, 'qualifierId': 212, 'value': '3.8'}, {'id': 5574625705, 'qualifierId': 56, 'value': 'Back'}, {'id': 5574625709, 'qualifierId': 141, 'value': '20.9'}]",8uo53q5n2lt81faxntpfsj0q2,H. Ralte,,
2787048407,16,1,1,1,23,12ksg0e6d70senzilsic40fzl,0,59.8,76.4,2025-03-11T14:01:32.645Z,2025-03-11T14:01:34Z,"[{'id': 5574625773, 'qualifierId': 213, 'value': '4.48'}, {'id': 5574625759, 'qualifierId': 56, 'value': 'Center'}, {'id': 5574625771, 'qualifierId': 212, 'value': '8.2'}, {'id': 5574625755, 'qualifierId': 3}, {'id': 5574625763, 'qualifierId': 140, 'value': '58.0'}, {'id': 5574625767, 'qualifierId': 141, 'value': '64.6'}]",99cjmvx4xlyzhyf6wxlvisb11,S. Chhetri,,
2787048411,14,1,1,1,24,1oyc8wvt31xlmocyg7euv40bo,0,41.4,37.6,2025-03-11T14:01:33.756Z,2025-03-11T14:01:34Z,"[{'id': 5574625803, 'qualifierId': 212, 'value': '6.9'}, {'id': 5574625799, 'qualifierId': 140, 'value': '46.6'}, {'id': 5574625797, 'qualifierId': 56, 'value': 'Back'}, {'id': 5574625805, 'qualifierId': 213, 'value': '5.62'}, {'id': 5574625801, 'qualifierId': 141, 'value': '31.3'}]",6n6x88fmmeybwkr6nt8djmac5,Y. van Nieff,,
2787048421,17,49,1,1,26,12ksg0e6d70senzilsic40fzl,1,55.4,70.9,2025-03-11T14:01:36.175Z,2025-03-11T14:01:36Z,[],de6woepvuggpm1z2cwz1nbmne,S. Singh,,
2787048429,18,1,1,1,27,12ksg0e6d70senzilsic40fzl,1,53.8,74.8,2025-03-11T14:01:36.706Z,2025-03-11T14:01:38Z,"[{'id': 5574625875, 'qualifierId': 213, 'value': '2.20'}, {'id': 5574625871, 'qualifierId': 141, 'value': '89.6'}, {'id': 5574625867, 'qualifierId': 56, 'value': 'Back'}, {'id': 5574625869, 'qualifierId': 140, 'value': '46.8'}, {'id': 5574625873, 'qualifierId': 212, 'value': '12.5'}]",de6woepvuggpm1z2cwz1nbmne,S. Singh,,
2787048423,15,83,1,1,27,1oyc8wvt31xlmocyg7euv40bo,0,47,24.6,2025-03-11T14:01:36.922Z,2025-03-11T14:01:38Z,"[{'id': 5574625901, 'qualifierId': 399, 'value': '3sy4rxdzl4u9e5kkvygxu9x7u'}]",8hst6awgd2m3z7kxj0bjoj4oa,V. Partap Singh,,
